"","sex","age","education","mdp1","mdu1","mdu2","mdu3","mdp2","mdu4","mdp3","mdp4","hh.sinc1","hh.fair1","hh.greed1","hh.mod1","hh.sinc2","hh.fair2","hh.greed2","hh.mod2","hh.sinc3","hh.fair3","hh.greed3","hh.mod3","hh.sinc4","hh.fair4","hh.greed4","hh.mod4","alt1","alt2","alt3","alt4","npi1","npi2","npi3","npi4","npi5","npi6","npi7","npi8","npi9","npi10","npi11","npi12","npi13","npi14","npi15","mach1","mach2","mach3","mach4","mach5","dc1","dc2","dc3","dc4","dc5","dc6","dc7","dc8","dc9","dc10","dc11","dc12","dc13","dc14","dc15","dc16","srp1","srp2","srp3","srp4","srp5","srp6","srp7","srp8","srp9","srp10","srp11","srp12","srp13","srp14","srp15","srp16","srp17","srp18","srp19","srp20","srp21","srp22","srp23","srp24","srp25","srp26","srp27","srp28","srp29","srp30","srp31","sinc.facet","fair.facet","greed.facet","mod.facet","hh.total","altruism","mdp.facet","mdu.facet","md.total","dc.total","mach.total","npi.total","srp.total"
"173","2",19,"4",-1,-2,1,-2,2,1,-1,-1,4,5,3,4,4,5,4,1,1,1,5,4,4,5,5,5,4,3,5,5,4,5,2,1,2,1,2,2,1,3,5,3,3,3,3,5,3,4,2,5,2,1,2,2,1,2,1,2,2,2,5,1,2,4,1,1,3,1,2,3,1,1,1,3,2,1,1,1,1,1,2,4,4,2,4,3,1,1,4,5,1,5,1,1,1,1,1,3.25,4,4.25,3.5,3.75,4.25,-1,-2,-3,1.9375,3.8,2.66666666666667,2
"174","1",22,"4",-2,2,-1,-1,1,1,1,-2,2,2,3,3,2,4,5,4,4,3,5,4,4,2,5,5,4,4,4,5,3,2,1,1,1,1,1,3,1,1,1,1,2,1,1,3,1,2,2,2,2,2,2,2,1,2,5,2,2,2,2,1,5,2,2,1,2,1,4,4,2,1,3,3,2,1,2,2,1,1,1,2,3,2,2,3,2,1,1,3,1,1,1,1,1,2,1,3,2.75,4.5,4,3.5625,4.25,-2,1,-1,2.1875,2,1.4,1.76666666666667
"175","1",23,"4",-2,-2,-1,-2,-1,-1,-2,-2,3,5,4,5,4,4,4,4,4,5,5,4,5,5,5,5,5,3,3,4,1,4,3,5,4,4,1,4,2,3,2,4,2,4,3,4,4,2,3,2,2,3,2,2,4,1,1,2,1,2,1,2,1,1,2,1,2,1,2,2,3,1,2,4,3,1,1,2,3,1,4,2,2,1,1,4,2,1,1,2,1,1,1,3,1,1,1,4,4.75,4.5,4.5,4.4375,3.75,-7,-6,-13,1.75,3,3.06666666666667,1.83333333333333
"176","1",23,"5",-2,2,-1,-2,-1,-1,-2,-1,2,3,4,5,2,4,3,4,2,4,5,4,4,2,4,4,4,3,5,4,5,4,4,3,1,1,1,1,2,4,1,1,2,1,3,2,2,4,2,1,1,1,1,2,2,1,4,2,1,3,2,1,2,2,1,1,4,2,2,3,4,3,1,3,5,4,2,5,2,4,3,3,2,2,2,4,2,1,4,5,1,1,5,1,1,1,1,2.5,3.25,4,4.25,3.5,4,-6,-2,-8,1.6875,2.2,2.26666666666667,2.66666666666667
"177","2",24,"5",-2,-2,-2,-2,-1,2,2,-2,4,4,2,4,3,5,3,4,5,5,3,4,5,5,4,4,4,4,5,5,6,4,4,6,5,3,4,4,1,4,4,6,3,4,6,5,5,5,3,3,2,3,1,2,3,3,3,4,1,3,1,1,1,2,1,3,4,2,3,3,5,3,3,3,3,1,2,4,4,3,5,2,4,4,2,5,2,1,1,4,2,4,1,4,1,2,1,4.25,4.75,3,4,4,4.5,-3,-4,-7,2.125,4.2,4.26666666666667,2.83333333333333
"178","2",25,"5",-2,-1,1,-2,2,1,1,-1,3,4,3,3,3,3,3,4,3,4,3,2,5,3,2,2,4,3,4,4,6,4,5,4,4,3,4,4,3,5,4,4,5,5,4,3,2,1,3,1,1,4,1,3,4,2,2,3,2,3,2,3,2,2,2,2,4,3,1,3,2,2,3,4,4,4,2,1,4,2,5,4,4,3,3,4,2,1,3,1,1,1,1,2,1,1,1,3.5,3.5,2.75,2.75,3.125,3.75,0,-1,-1,2.375,2,4.26666666666667,2.46666666666667
"179","2",22,"5",-1,1,-2,-1,2,2,-2,1,3,2,3,3,1,5,4,1,4,4,5,4,5,2,4,4,2,2,2,1,3,1,3,5,6,4,2,5,5,5,3,6,4,3,4,5,4,3,5,4,3,2,1,3,1,5,1,4,4,3,2,3,3,2,3,2,1,4,4,3,3,3,4,3,4,4,2,3,1,2,3,4,5,4,3,5,3,1,1,5,1,1,1,2,1,1,1,3.25,3.25,4,3,3.375,1.75,0,0,0,2.625,4.2,3.93333333333333,2.66666666666667
"180","1",51,"5",-1,-1,-2,-2,-1,-2,-2,-1,4,4,3,4,2,4,3,4,4,4,3,2,2,4,3,3,5,3,4,4,5,1,2,2,4,4,3,5,3,4,3,3,1,4,2,4,2,2,2,2,2,3,1,2,4,2,1,3,2,1,1,2,2,2,4,2,2,1,1,3,2,2,2,3,3,2,3,4,1,3,5,4,4,3,1,4,1,1,1,4,1,5,4,1,1,1,1,3,4,3,3.25,3.3125,4,-5,-7,-12,2.125,2.4,3.06666666666667,2.36666666666667
"181","2",50,"2",-2,1,-1,-2,1,1,-2,-1,2,4,3,4,5,3,4,5,2,1,4,3,5,3,4,4,5,3,4,5,3,2,2,2,3,3,2,1,2,2,2,2,1,2,2,2,5,2,4,1,2,2,2,2,1,1,1,4,2,2,3,1,1,1,1,2,3,1,1,2,2,3,1,3,1,1,1,1,3,1,3,2,1,2,2,4,1,1,1,4,1,5,5,1,1,1,1,3.5,2.75,3.75,4,3.5,4.25,-4,-1,-5,1.75,2.8,2.06666666666667,1.93333333333333
"182","1",31,"4",-2,-2,-2,-2,1,1,-2,-1,4,2,3,4,2,2,1,3,4,4,3,1,4,2,2,3,5,3,3,4,3,4,1,3,4,3,4,2,2,1,5,2,2,4,3,6,5,3,5,3,1,3,1,2,1,2,1,5,1,1,1,1,3,1,3,1,4,1,1,3,1,3,1,2,2,2,1,3,1,1,2,2,2,4,3,1,1,1,1,4,1,5,1,1,1,1,1,3.5,2.5,2.25,2.75,2.75,3.75,-4,-5,-9,1.75,4.4,2.86666666666667,1.83333333333333
"183","2",27,"5",-2,-2,-1,1,1,1,1,1,4,4,3,5,3,4,3,4,3,4,4,4,4,5,2,5,4,5,4,5,5,6,6,5,6,6,5,5,4,6,5,6,6,6,6,4,4,6,2,3,2,1,2,2,3,2,4,3,2,4,1,1,1,1,2,1,3,2,2,4,4,1,1,5,5,3,1,2,3,1,5,3,3,2,2,2,1,1,2,4,1,1,1,1,1,1,1,3.5,4.25,3,4.5,3.8125,4.5,1,-1,0,2,3.8,5.53333333333333,2.16666666666667
"184","1",52,"3",-2,-2,-2,-2,-2,2,-2,-1,5,2,4,4,2,5,5,4,5,4,5,4,4,4,4,4,5,3,5,5,4,3,3,1,3,2,2,2,1,2,2,2,1,3,1,6,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,4,1,1,3,2,1,4,3,1,2,1,1,1,1,4,1,2,1,1,3,1,1,1,3,1,1,4,1,1,1,1,4,3.75,4.5,4,4.0625,4.5,-7,-4,-11,1.1875,2.2,2.13333333333333,1.7
"185","1",28,"4",-2,-2,-2,-2,-1,1,-1,-1,2,1,2,4,3,5,3,5,3,5,5,5,3,1,1,2,5,4,5,5,2,1,2,6,4,1,2,6,1,2,4,5,2,3,5,5,1,5,1,1,1,3,1,2,2,4,2,3,2,2,2,4,1,2,4,2,3,1,1,2,2,2,3,4,3,2,1,1,2,1,3,4,3,2,2,4,1,1,1,3,1,2,1,3,1,1,1,2.75,3,2.75,4,3.125,4.75,-5,-5,-10,2.3125,2.6,3.06666666666667,2
"186","1",42,"4",-1,-2,-1,-2,-1,1,2,-1,4,5,3,5,3,4,3,3,4,4,5,5,5,5,4,5,5,5,5,4,6,5,4,5,3,1,4,4,3,2,3,4,3,2,5,2,1,2,1,5,2,2,1,2,3,1,3,3,2,3,2,1,1,2,2,2,3,5,2,3,3,4,1,4,4,3,1,1,1,4,4,2,5,4,2,3,1,1,1,5,1,1,1,1,1,1,1,4,4.5,3.75,4.5,4.1875,4.75,-1,-4,-5,2,2.2,3.6,2.36666666666667
"187","2",27,"4",-2,2,-1,2,-2,1,-1,1,2,1,5,5,3,1,5,5,3,3,5,5,4,2,5,5,4,4,2,1,5,5,5,6,4,3,5,3,4,5,5,4,5,3,5,5,5,3,6,1,2,3,1,3,3,1,1,4,2,3,2,5,2,2,1,1,3,3,1,2,2,4,4,3,3,4,1,1,4,2,3,4,4,5,1,2,1,5,4,1,2,4,4,4,1,4,4,3,1.75,5,5,3.6875,2.75,-4,4,0,2.25,4,4.46666666666667,2.93333333333333
"188","1",40,"4",-2,-1,-1,1,-2,-1,-2,-2,1,1,3,2,2,3,4,5,3,3,3,3,3,1,4,4,5,3,3,4,4,1,2,6,5,5,4,3,4,3,5,4,6,5,4,5,2,2,1,5,1,4,2,2,4,1,4,3,1,3,2,2,2,1,2,2,2,2,1,2,1,3,4,5,1,3,1,2,3,2,4,2,5,2,1,2,1,1,1,4,1,1,2,5,1,1,1,2.25,2,3.5,3.5,2.8125,3.75,-8,-2,-10,2.25,3,4.06666666666667,2.16666666666667
"189","1",22,"2",-1,-2,-1,-1,-2,1,-2,-2,2,2,3,5,4,5,5,4,3,3,5,5,2,5,2,3,4,3,4,5,2,3,4,5,4,4,2,2,2,4,3,4,1,3,4,5,4,1,2,2,2,3,1,1,3,1,1,2,2,4,3,1,1,2,1,2,4,1,2,4,2,2,2,4,1,3,3,3,2,1,3,3,2,2,2,3,1,1,1,2,1,1,1,1,1,1,1,2.75,3.75,3.75,4.25,3.625,4,-7,-3,-10,1.875,2.8,3.13333333333333,1.9
"190","2",40,"2",-2,1,-2,2,-1,2,1,1,2,1,2,3,2,3,5,4,3,3,5,2,3,1,5,4,4,3,1,5,5,4,3,2,5,4,6,5,5,2,3,3,1,4,6,1,2,1,2,3,3,3,2,2,1,1,1,2,3,3,2,5,2,2,4,1,5,1,2,4,5,2,4,4,4,1,2,4,4,4,4,3,4,5,2,5,2,1,2,2,2,1,5,4,1,5,2,2.5,2,4.25,3.25,3,3.25,-1,3,2,2.3125,1.8,3.86666666666667,3.06666666666667
"191","1",24,"5",-2,1,1,-1,2,-2,-2,-2,2,2,3,4,3,2,2,2,1,3,4,2,2,1,3,2,4,4,3,3,4,5,6,1,5,5,5,4,4,4,5,6,3,5,2,6,4,5,4,3,2,3,1,3,5,1,5,4,2,4,2,3,4,4,3,1,5,2,1,1,5,2,4,3,4,2,2,2,2,3,4,2,4,4,5,3,1,1,3,4,1,5,4,1,1,1,1,2,2,3,2.5,2.375,3.5,-4,-1,-5,2.9375,4.4,4.26666666666667,2.73333333333333
"192","1",24,"5",-2,1,-1,-2,1,-2,-2,1,4,4,3,5,3,2,4,4,5,5,5,5,5,4,5,2,4,5,4,3,3,1,1,4,3,3,2,2,1,2,4,2,4,2,2,4,3,1,2,2,2,1,1,1,2,1,1,3,2,3,2,1,1,1,2,1,4,1,1,4,3,3,4,4,3,3,1,2,4,3,4,2,1,3,4,2,1,1,4,1,1,4,5,4,1,1,1,4.25,3.75,4.25,4,4.0625,4,-2,-4,-6,1.5625,2.4,2.4,2.53333333333333
"193","2",39,"5",-1,1,-1,-2,1,1,-2,-1,2,2,3,3,3,3,3,4,4,4,5,3,4,4,5,4,4,4,4,5,6,4,3,4,2,3,2,5,5,2,3,3,2,4,3,5,5,4,2,2,1,2,2,1,1,1,1,2,2,3,2,3,2,2,2,1,3,1,3,3,3,3,3,3,1,1,2,3,3,4,4,4,1,3,1,2,1,1,1,5,1,1,5,3,1,4,1,3.25,3.25,4,3.5,3.5,4.25,-3,-1,-4,1.75,3.6,3.4,2.4
"194","2",24,"4",-2,-1,-1,-2,1,1,-1,1,3,2,4,4,4,2,5,5,3,2,5,4,4,1,5,5,4,3,4,5,4,4,2,1,4,1,4,2,2,2,1,2,3,2,2,6,6,3,3,2,1,2,2,3,1,5,5,5,2,3,1,1,2,3,2,4,1,1,2,3,1,1,1,3,1,1,4,1,2,1,2,3,3,2,1,4,1,1,1,5,1,4,1,1,1,1,1,3.5,1.75,4.75,4.5,3.625,4,-1,-3,-4,2.625,4,2.4,1.76666666666667
"195","2",71,"5",-2,1,1,-1,-2,-1,-1,-2,3,3,4,4,4,4,2,3,4,3,2,4,1,3,3,3,5,3,3,5,3,2,2,5,5,3,1,3,2,2,3,5,4,2,1,5,1,5,3,1,2,1,2,2,1,1,1,3,1,3,3,3,1,1,3,1,5,3,1,2,4,3,3,3,3,4,1,1,3,1,2,3,3,1,2,4,5,1,4,5,1,1,4,1,1,1,1,3,3.25,2.75,3.5,3.125,4,-7,0,-7,1.8125,3,2.86666666666667,2.5
"196","1",21,"4",1,-1,2,-2,1,1,-2,2,3,4,2,3,4,4,3,4,4,4,5,5,4,4,2,3,4,5,4,5,4,3,5,5,4,3,1,1,2,5,4,4,3,5,4,1,1,2,2,2,3,2,3,2,4,3,1,3,1,4,3,3,2,3,2,1,3,5,2,1,2,2,1,5,1,4,1,4,2,3,5,2,5,4,2,5,1,1,1,1,1,5,1,1,1,1,1,3.75,4,3,3.75,3.625,4.5,2,0,2,2.5,1.6,3.53333333333333,2.43333333333333
"197","2",21,"4",-2,-2,-1,2,-2,-2,-2,-2,4,1,3,3,1,4,2,1,4,1,3,5,2,1,3,4,3,2,4,5,6,3,2,1,2,1,5,2,1,2,1,1,1,3,1,5,5,4,2,1,1,1,1,1,2,1,1,3,1,1,1,3,2,3,1,2,4,1,4,2,1,2,1,3,4,4,1,2,4,1,2,2,3,2,4,5,1,1,3,3,1,2,1,1,1,1,1,2.75,1.75,2.75,3.25,2.625,3.5,-8,-3,-11,1.5625,3.4,2.13333333333333,2.2
"198","2",48,"5",-2,-1,1,-2,-2,-2,-2,-2,4,4,4,5,2,5,5,4,5,2,5,5,4,5,5,5,4,4,3,5,2,1,2,1,2,3,2,1,1,2,2,2,1,3,1,4,1,5,3,1,1,3,1,3,1,2,1,3,1,2,3,2,2,2,2,1,3,1,1,5,1,2,1,3,1,1,1,2,1,1,4,3,2,1,1,3,1,1,1,4,1,1,5,1,1,1,1,3.75,4,4.75,4.75,4.3125,4,-8,-4,-12,1.875,2.8,1.73333333333333,1.7
"199","1",55,"1",-1,-2,-2,-2,-2,-1,-1,-2,4,5,2,4,2,5,3,4,4,1,4,5,4,5,3,4,4,4,4,4,5,2,4,1,3,1,1,1,1,2,2,3,2,2,3,4,2,4,3,3,3,2,1,2,2,3,2,2,3,2,2,2,2,2,2,4,4,1,1,3,1,1,3,4,1,2,2,3,1,1,5,3,1,1,1,2,1,1,1,2,1,5,5,4,1,4,1,3.5,4,3,4.25,3.6875,4,-6,-7,-13,2.25,3.2,2.2,2.13333333333333
"200","2",22,"4",-2,-1,-1,-2,2,2,-2,-2,5,1,3,2,3,2,3,2,4,2,3,4,4,1,2,4,4,1,4,4,4,3,2,5,6,6,4,5,4,3,5,5,5,6,5,2,1,1,2,1,2,2,2,2,1,1,4,3,2,3,1,1,1,1,1,1,4,2,1,4,4,2,3,4,3,3,2,5,4,3,5,3,5,4,2,1,1,1,1,5,1,5,5,1,1,1,1,4,1.5,2.75,3,2.8125,3.25,-4,-2,-6,1.75,1.4,4.53333333333333,2.76666666666667
"201","1",31,"4",-1,2,-1,-2,1,1,-1,-2,3,3,4,5,3,2,4,5,5,5,5,5,4,4,5,5,3,3,3,4,5,5,4,4,5,2,4,5,2,5,5,2,5,3,6,6,4,1,3,1,1,3,4,1,4,1,4,3,3,2,2,3,2,2,3,2,1,1,2,2,2,2,1,4,2,2,2,3,2,2,4,2,1,2,3,4,2,1,1,2,1,3,1,3,1,1,4,3.75,3.5,4.5,5,4.1875,3.25,-3,0,-3,2.5,3,4.13333333333333,2.06666666666667
"202","1",20,"4",-2,-1,-2,-1,1,1,-2,-1,3,3,3,5,3,4,4,4,4,3,4,5,3,5,3,4,4,3,4,4,4,5,2,5,2,2,2,5,2,2,3,2,2,1,3,2,4,2,3,3,2,2,2,2,1,1,1,3,2,1,2,1,2,2,1,2,2,1,3,2,3,4,2,4,3,2,2,2,2,2,3,2,2,5,2,4,2,1,2,4,1,1,1,1,1,1,1,3.25,3.75,3.5,4.5,3.75,3.75,-4,-3,-7,1.6875,2.8,2.8,2.2
"203","2",22,"4",-2,-1,-2,-2,1,1,-2,-1,3,3,2,4,5,5,4,4,4,4,4,4,4,2,4,2,5,4,5,4,2,2,4,1,5,4,3,6,3,6,4,3,1,4,1,5,4,2,1,3,1,1,1,2,3,2,1,3,2,2,4,2,1,1,1,2,3,1,2,4,4,3,2,3,3,3,1,3,5,5,2,5,4,3,2,3,1,1,2,5,2,5,5,5,1,5,1,4,3.5,3.5,3.5,3.625,4.5,-4,-4,-8,1.8125,3,3.26666666666667,3
"204","1",22,"4",-2,-1,1,-2,1,1,-2,1,2,2,3,5,4,5,3,4,1,3,5,5,3,5,5,2,5,3,3,4,2,3,4,3,4,2,1,4,1,3,1,3,2,3,2,4,6,4,4,1,1,1,2,3,4,3,1,3,2,1,3,1,3,2,2,2,1,1,1,4,1,1,1,3,3,3,2,2,2,1,4,1,4,3,2,5,2,1,1,5,1,4,1,1,1,1,1,2.5,3.75,4,4,3.5625,3.75,-2,-1,-3,2.125,3.8,2.53333333333333,2
"205","1",20,"4",-2,-2,1,-1,-1,1,-1,-2,3,3,3,2,5,4,4,5,4,1,5,5,5,2,4,5,5,5,3,4,2,2,1,1,5,1,1,3,1,1,1,1,1,2,1,5,1,2,1,3,2,2,2,1,3,1,1,4,2,4,4,1,1,1,1,2,2,4,5,4,2,1,1,3,4,1,1,5,2,1,2,1,3,1,1,4,1,1,1,2,1,4,3,4,1,4,1,4.25,2.5,4,4.25,3.75,4.25,-6,-1,-7,2,2.4,1.6,2.23333333333333
"206","1",45,"5",-2,-1,2,-1,-2,1,-1,-2,2,5,4,5,3,5,2,4,4,5,5,5,2,3,4,4,5,3,4,5,3,2,1,1,5,5,2,1,1,4,5,5,2,3,4,4,4,1,3,1,1,2,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,3,4,1,2,3,3,1,1,2,3,1,5,1,3,2,2,4,1,1,1,4,1,1,5,1,1,4,1,2.75,4.5,3.75,4.5,3.875,4.25,-7,1,-6,1.375,2.6,2.93333333333333,2.06666666666667
"207","2",25,"4",-1,1,2,2,1,1,1,1,2,1,2,2,3,2,2,4,3,3,2,4,2,2,2,3,5,4,2,4,4,3,5,4,5,6,3,4,5,5,6,5,2,4,5,4,4,4,5,4,2,3,3,2,5,3,5,4,4,3,3,1,3,4,2,2,5,4,3,2,4,1,1,4,5,3,2,4,2,5,1,3,4,5,3,4,3,1,1,4,1,5,1,3,2,3,1,2.5,2,2,3.25,2.4375,3.75,2,6,8,3.0625,4.2,4.4,2.93333333333333
"208","2",37,"4",-1,-1,-1,-2,1,1,-2,-1,2,2,2,4,2,2,3,2,3,4,3,5,1,3,3,4,5,3,3,2,4,2,4,2,5,2,2,2,2,3,3,3,3,4,3,4,3,5,2,6,1,3,1,2,2,3,2,3,2,3,2,1,2,1,2,1,3,1,1,4,4,2,2,2,3,3,2,1,2,1,3,2,2,2,1,4,2,1,3,2,1,1,4,3,1,4,1,2,2.75,2.75,3.75,2.8125,3.25,-3,-3,-6,1.9375,4,2.93333333333333,2.13333333333333
"209","2",21,"4",-1,-2,-2,-2,1,-1,1,-1,4,1,3,5,4,5,5,5,5,4,5,5,5,3,5,5,4,4,4,4,5,3,2,4,3,1,3,2,1,2,3,3,3,3,3,4,3,3,3,6,2,1,1,2,2,2,4,2,2,1,3,2,2,1,1,1,4,1,1,1,1,3,1,3,1,1,1,1,1,1,4,2,2,3,1,3,1,1,1,2,1,4,1,4,1,1,1,4.5,3.25,4.5,5,4.3125,4,0,-7,-7,1.8125,3.8,2.73333333333333,1.76666666666667
"210","2",22,"4",1,-1,-2,2,1,1,1,-2,3,1,3,2,4,1,3,3,4,2,4,3,2,3,2,3,5,4,2,3,4,4,5,4,5,5,3,1,2,5,5,4,4,4,3,2,1,3,2,5,1,4,2,2,2,1,2,1,2,3,1,4,2,2,4,3,2,2,1,4,3,2,1,4,3,5,2,4,4,4,5,2,2,2,3,5,2,4,2,4,1,5,1,1,1,1,1,3.25,1.75,3,2.75,2.6875,3.5,1,0,1,2.25,2.6,3.86666666666667,2.63333333333333
"211","1",53,"5",-2,-2,-2,-2,-1,1,-2,-1,3,5,4,5,4,5,4,4,4,5,5,4,4,5,5,4,4,4,5,4,3,1,2,5,4,4,1,3,3,2,3,3,2,3,3,1,1,2,2,2,2,1,3,3,1,2,1,2,2,3,2,1,1,1,2,1,3,2,1,4,1,1,2,4,1,3,1,2,3,1,1,1,1,3,1,1,1,1,1,2,1,1,5,1,1,1,1,3.75,5,4.5,4.25,4.375,4.25,-6,-5,-11,1.75,1.6,2.8,1.63333333333333
"212","1",18,"1",-2,-1,-1,-2,1,1,-2,-1,4,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,2,2,2,5,3,3,3,4,1,4,2,5,2,3,5,2,3,3,4,3,2,1,1,1,2,1,5,2,2,2,1,1,1,2,1,2,3,1,1,5,1,1,1,5,2,2,2,2,2,2,2,4,2,1,1,4,1,1,1,4,1,2,1,1,1,1,1,4.75,4.25,4.25,5,4.5625,4,-4,-3,-7,1.6875,3,3.06666666666667,1.8
"213","1",20,"4",-1,-2,-1,-2,1,1,-2,-1,3,2,4,5,3,4,5,3,5,5,5,5,4,2,4,2,4,3,3,3,4,5,5,3,2,2,2,6,4,6,3,2,4,1,4,6,3,5,2,3,2,2,1,4,1,3,1,3,1,3,4,3,2,2,1,1,2,4,2,2,1,1,2,4,1,1,1,1,2,3,3,1,4,3,2,5,3,1,3,2,5,5,5,3,1,1,1,3.75,3.25,4.5,3.75,3.8125,3.25,-3,-4,-7,2.125,3.8,3.53333333333333,2.43333333333333
"214","1",25,"2",-2,2,2,-1,1,1,1,2,2,2,2,3,2,2,1,3,3,2,1,1,3,2,1,2,5,3,1,3,5,5,3,3,4,3,4,3,2,3,5,4,3,4,5,6,5,5,4,1,1,3,2,3,1,1,2,5,2,3,3,3,1,2,2,2,1,2,3,3,2,2,3,5,3,2,1,3,4,4,2,4,5,2,1,2,1,1,1,4,1,5,1,5,1,1,1,2.5,2,1.25,2.25,2,3,2,4,6,2.25,4.2,3.73333333333333,2.43333333333333
"215","1",38,"5",-2,-1,1,-1,-1,-1,-1,-2,3,3,4,5,4,3,3,4,4,2,4,5,4,4,2,5,5,4,3,5,4,3,3,4,4,4,2,5,2,4,5,4,3,4,5,5,4,1,2,3,1,2,2,1,5,2,5,2,2,4,2,3,1,1,3,1,5,3,1,2,2,2,2,4,3,1,1,1,1,2,5,2,4,4,2,4,1,1,1,1,1,1,4,3,1,2,1,3.75,3,3.25,4.75,3.6875,4.25,-6,-2,-8,2.3125,3,3.73333333333333,2.2
"216","1",24,"3",-2,-2,2,-2,2,-2,-1,2,2,2,2,3,2,3,2,3,2,3,5,4,4,1,1,2,4,3,3,4,2,4,4,4,5,3,2,3,3,4,3,5,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,4,1,1,4,4,3,2,3,3,2,1,2,4,2,4,4,3,2,2,3,1,1,3,5,5,1,3,4,1,1,1,2.5,2.25,2.5,3,2.5625,3.5,1,-4,-3,1.25,1,3.06666666666667,2.53333333333333
"217","1",21,"4",-2,-2,-2,-2,-1,1,-2,-2,2,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,1,1,1,6,3,2,2,4,2,2,2,3,1,2,5,4,2,4,2,4,1,3,1,1,2,5,2,2,1,1,2,1,1,1,1,1,3,2,1,3,3,2,2,5,1,1,1,1,1,1,5,2,3,1,1,4,1,1,1,5,1,1,1,4,1,1,1,4.25,5,4.5,5,4.6875,4.25,-7,-5,-12,1.625,3.2,2.46666666666667,1.93333333333333
"218","1",39,"5",-2,-2,-2,1,-1,-1,-1,-2,3,3,3,4,2,3,4,3,4,4,5,4,4,3,5,3,4,3,4,4,4,3,3,4,5,2,4,3,4,3,6,3,1,4,2,4,3,2,5,1,2,2,3,3,5,2,5,3,4,3,3,2,2,2,3,3,5,3,1,3,1,4,1,4,1,1,5,5,1,2,4,2,5,5,4,2,1,2,2,4,1,4,1,1,1,1,1,3.25,3.25,4.25,3.5,3.5625,3.75,-6,-4,-10,2.9375,3,3.4,2.5
"219","1",20,"4",-2,-2,1,-2,1,-1,-1,-2,4,5,4,5,4,5,3,4,2,5,5,5,2,5,4,4,4,3,4,5,2,3,2,4,5,4,3,1,2,2,4,4,4,4,3,4,1,3,3,2,2,1,2,3,1,2,5,1,3,1,1,1,2,2,1,1,3,2,3,4,1,2,1,4,2,1,1,1,2,2,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,5,4,4.5,4.125,4,-4,-4,-8,1.8125,2.6,3.13333333333333,1.53333333333333
"220","1",22,"4",-2,-2,-1,-2,1,-1,-2,2,4,4,4,4,4,3,4,5,5,5,5,5,5,4,5,5,5,4,4,5,2,1,1,5,4,2,2,1,1,1,4,5,2,2,5,4,2,1,3,4,2,2,1,1,4,1,3,2,2,3,2,1,1,3,2,2,2,1,3,1,1,1,1,4,3,1,1,4,4,1,4,1,1,1,1,2,2,1,1,3,1,3,1,1,1,1,1,4.5,4,4.5,4.75,4.4375,4.5,-1,-6,-7,2,2.8,2.53333333333333,1.76666666666667
"221","1",27,"5",-2,-2,-2,-2,-1,1,-1,-2,4,5,3,4,5,5,3,4,4,5,4,4,5,5,2,5,5,4,3,3,3,1,2,1,2,3,2,3,4,2,2,3,1,2,1,5,3,4,3,1,1,3,1,2,4,1,1,2,2,3,1,2,2,3,1,2,3,1,1,5,1,2,1,3,3,3,2,2,1,2,2,4,2,3,3,3,1,1,1,3,1,2,5,2,1,1,1,4.5,5,3,4.25,4.1875,3.75,-6,-5,-11,1.9375,3.2,2.13333333333333,2.03333333333333
"222","1",23,"4",-1,-2,-1,-2,1,1,-2,1,4,4,3,4,5,4,3,4,4,5,5,3,4,4,2,5,3,3,4,5,5,3,5,4,6,6,2,3,2,5,4,5,2,6,2,2,3,4,3,3,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,2,3,1,1,4,4,1,2,4,2,1,5,1,5,3,3,2,1,1,1,3,1,1,1,1,1,1,1,4.25,4.25,3.25,4,3.9375,3.75,-1,-4,-5,1.4375,3,4,1.96666666666667
"223","1",36,"4",-2,-1,-2,-1,-2,-1,-2,-1,4,3,5,5,1,4,5,4,4,4,5,5,1,4,5,5,4,3,3,3,5,4,2,5,5,4,2,5,2,1,5,4,4,3,3,3,4,4,4,3,4,2,1,2,2,3,3,4,2,3,2,2,2,2,2,1,3,1,3,3,1,1,1,4,1,1,2,3,1,1,2,2,1,1,1,3,2,1,4,4,1,1,4,4,1,1,1,2.5,3.75,5,4.75,4,3.25,-7,-5,-12,2.3125,3.6,3.6,1.9
"224","2",21,"3",-1,-2,-2,-2,-1,2,-2,1,5,5,4,1,4,5,5,2,2,2,5,5,3,5,1,2,5,4,4,5,5,4,2,3,2,1,5,1,1,2,2,2,1,1,1,6,5,4,1,4,1,3,1,1,5,1,1,4,1,2,4,2,1,1,1,1,3,4,1,1,2,1,2,4,2,2,1,1,1,1,3,2,4,1,1,2,1,1,1,4,2,4,1,1,1,1,1,3.5,4.25,3.75,2.5,3.5,4.5,-3,-4,-7,1.875,4,2.2,1.86666666666667
